geneName,log2FC,pvalue,ProteinAccessions,,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
best-14,2.95166,4.08655,Q19978,,Bestrophin homolog 14,17.2475,18.1637,17.364,18.0817,14.6696,15.361,14.578,14.4418,4.08655,0,2.95166,9.40812,+
cat-4,-0.647576,0.200301,Q19980,,GTP cyclohydrolase 1,14.1388,13.9005,14.2229,15.0261,17.8792,15.0915,15.1594,11.7484,0.200301,0.353733,-0.647576,-0.506582,
tsp-8,1.72468,1.5949,Q19983,,Tetraspanin,15.9441,15.2137,14.619,17.298,14.2061,13.8435,13.9669,14.1596,1.5949,0.00354667,1.72468,2.95597,+
golg-2,1.13255,1.85745,Q19989,,GOLGi associated coiled-coil protein homolog,15.6672,15.4432,16.6783,16.543,14.7245,15.1375,15.1562,14.7834,1.85745,0.00176839,1.13255,3.43503,+
pxn-1,2.70132,2.84037,Q1ENI8,,Peroxidasin homolog,16.8227,16.3174,16.5791,18.3293,14.4099,14.1037,13.9513,14.7783,2.84037,0.000160714,2.70132,5.55141,+
"CELE_T07F10,1",2.21334,6.40398,Q1HB04;Q22317,,Aminopeptidase,16.9653,17.1149,17.0036,16.9204,15.0067,14.8361,14.6478,14.6603,6.40398,0,2.21334,23.4505,+
"CELE_R31,2",1.90217,1.93277,Q1NZ18;Q22015,,Uncharacterized protein,17.4711,17.3651,19.6332,18.3466,16.2645,16.5032,16.0922,16.3474,1.93277,0.00147853,1.90217,3.57779,+
"F13E9,13",0.587962,1.08273,Q1NZ26,,"Uncharacterized protein F13E9,13, mitochondrial",14.1181,14.3351,14.4439,15.039,14.34,13.9138,13.3582,13.9723,1.08273,0.0175937,0.587962,2.08069,+
smg-6,2.71361,6.26727,Q1T6W7;Q9BL68,,Suppressor with Morphological effect on Genitalia,14.2833,14.4227,14.4801,14.8124,11.7887,11.7174,11.9211,11.7169,6.26727,0,2.71361,22.2402,+
"CELE_F10G7,10",3.62641,4.09842,Q1W0R5;Q1W0R6;Q1W0R7,,Uncharacterized protein,14.5111,14.2766,14.3878,14.7482,10.7671,11.1782,9.86954,11.6031,4.09842,0,3.62641,9.4536,+
tag-343,1.77035,2.35383,Q1XFY2;Q9TZM9,,Uncharacterized protein,14.3779,14.2768,14.4497,14.9691,13.7619,12.8089,12.316,12.1053,2.35383,0.000436078,1.77035,4.42906,+
"CELE_T10H9,8",0.883222,1.62938,Q1XFY4,,Uncharacterized protein,15.9313,16.4115,16.0663,15.2472,14.8124,14.8007,15.0192,15.491,1.62938,0.0032277,0.883222,3.01739,+
rps-24,-0.545705,1.54705,Q1XFY9,,"Ribosomal Protein, Small subunit",16.9786,17.801,17.3401,17.5356,17.8751,17.9908,17.8068,18.1654,1.54705,0.00423411,-0.545705,-2.87138,+
add-2,-0.593459,0.316346,Q1ZXU2;Q20952,,ADDucin;Adducin-related protein 2,15.0283,14.6617,14.2339,17.2299,15.0717,17.0416,15.9786,15.4356,0.316346,0.215222,-0.593459,-0.748114,
"CELE_F13H10,8",-0.154612,0.189169,Q1ZXU7,,Uncharacterized protein,13.9749,14.1643,14.4669,14.9159,14.6065,13.9146,14.5026,15.1167,0.189169,0.373407,-0.154612,-0.48199,
acl-5,1.79532,5.57287,Q1ZXU8;Q21812,,ACyLtransferase-like,14.1107,14.2147,14.4138,14.559,12.4491,12.5318,12.6134,12.5226,5.57287,0,1.79532,16.9738,+
"CELE_F35A5,2",3.33755,4.13616,Q20006,,Uncharacterized protein,14.1798,14.1918,14.4161,14.8021,11.3879,10.9478,10.2262,11.6776,4.13616,0,3.33755,9.59953,+
"CELE_F35A5,1",3.37555,1.72598,Q20007,,Uncharacterized protein,16.0211,19.8967,19.9787,16.6682,14.9536,15.0771,14.3714,14.6605,1.72598,0.00251483,3.37555,3.19179,+
piit-1,2.98288,4.60124,Q20008,,Protease Inhibitor I2 (Two),14.4805,14.0742,14.2145,14.9256,11.4558,11.7368,10.9389,11.6317,4.60124,0,2.98288,11.5724,+
nlp-24,-0.273377,0.15557,Q20011,,Neuropeptide-Like Protein,17.7773,16.7826,17.3049,19.2835,16.8957,18.5049,18.6946,18.1467,0.15557,0.439664,-0.273377,-0.405858,
dhs-20,1.48196,2.73895,Q20012,,"DeHydrogenases, Short chain",15.5645,15.6581,15.5031,15.5969,14.0811,13.4422,14.071,14.8005,2.73895,0.00019725,1.48196,5.30326,+
tag-290,0.801472,1.52166,Q20014,,Uncharacterized protein,16.4795,15.8773,15.7292,16.745,15.7132,15.3861,15.5163,15.0097,1.52166,0.00471004,0.801472,2.82678,+
pfn-2,1.22564,2.18307,Q20025,,Profilin-2,18.5193,18.6637,18.891,19.8499,17.703,17.8355,17.7252,17.7576,2.18307,0.000661231,1.22564,4.07209,+
"CELE_F35D11,5",0.33066,0.433465,Q20033,,Uncharacterized protein,16.267,15.8993,15.5037,16.1361,14.9122,15.3985,16.2691,15.9037,0.433465,0.137277,0.33066,0.972014,
"CELE_F35D11,4",0.688343,3.38675,Q20034,,Uncharacterized protein,19.1895,18.9638,18.9456,19.291,18.3543,18.3447,18.3864,18.5511,3.38675,0,0.688343,7.04046,+
mlcd-1,3.11628,3.76921,Q20048,,MaLonyl CoA Decarboxylase,15.7713,15.3164,16.015,15.3346,12.5355,11.9566,12.0531,13.427,3.76921,0,3.11628,8.26152,+
idhg-1,-0.079545,0.177827,Q20049,,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",16.8044,16.3505,16.1649,16.396,16.227,16.5714,16.7576,16.4779,0.177827,0.394118,-0.079545,-0.456621,
"CELE_F35G12,7",-0.907209,0.469747,Q20051,,Uncharacterized protein,11.2852,12.5467,13.8363,15.0811,13.9147,13.7704,13.6923,15.0007,0.469747,0.121471,-0.907209,-1.03855,
asb-1,2.15015,4.50805,Q20053,,ATP Synthase B homolog,19.8113,20.1139,19.2903,19.4547,17.4763,17.6869,17.4459,17.4605,4.50805,0,2.15015,11.1497,+
"CELE_F35G12,11",0.102793,0.107613,Q20057,,Enhancer of rudimentary homolog,14.4967,13.4257,14.0361,14.9253,14.3562,13.7626,14.3558,13.998,0.107613,0.563095,0.102793,0.291445,
"CELE_F35G12,12",0.948705,2.41028,Q20058,,Uncharacterized protein,16.704,16.7738,16.296,17.2431,15.6903,15.8144,15.6996,16.0178,2.41028,0.00038824,0.948705,4.55096,+
wdr-48,1.25851,1.83292,Q20059,,WD repeat-containing protein 48 homolog,14.4987,13.9941,14.4439,14.7446,14.0333,12.7413,12.5343,13.3382,1.83292,0.00187582,1.25851,3.38909,+
smc-4,3.79537,4.58879,Q20060,,Structural maintenance of chromosomes protein 4,16.9975,16.8161,17.309,15.8671,12.7663,12.9619,12.821,13.2592,4.58879,0,3.79537,11.5151,+
marb-1,-0.578202,1.52381,Q20062,,Mitochondrial Associated RiBonuclease homolog,17.5784,17.8714,17.3445,18.2109,18.4734,18.119,18.2839,18.4417,1.52381,0.00465037,-0.578202,-2.83055,+
"CELE_F35G2,1",0.709321,0.8229,Q20063,,Sulfhydryl oxidase,13.8804,14.2245,13.6997,14.9889,13.7819,12.7723,13.1732,14.2288,0.8229,0.0383824,0.709321,1.64849,+
phy-2,1.64098,1.2274,Q20065,,Prolyl 4-hydroxylase subunit alpha-2,14.8111,15.5215,16.3533,18.0571,14.4892,14.4013,14.4372,14.8515,1.2274,0.0118283,1.64098,2.3226,+
"CELE_F35H10,6",3.06989,3.65366,Q20070,,Uncharacterized protein,14.1007,13.79,14.8978,15.4559,11.2605,11.5924,11.4314,11.6806,3.65366,0,3.06989,7.87519,+
ugt-58,2.92174,3.97796,Q20086,,Putative UDP-glucuronosyltransferase ugt-58,16.7188,16.3531,15.9944,15.688,13.2729,13.7429,12.6227,13.4288,3.97796,0,2.92174,9.00098,+
ttr-20,-3.16813,3.80322,Q20089,,TransThyretin-Related family domain,13.5613,13.6494,14.1813,14.6444,17.2642,16.5911,16.9384,17.9152,3.80322,0,-3.16813,-8.37827,+
fkb-1,1.24806,1.57069,Q20107,,Peptidylprolyl isomerase,20.3498,20.4864,19.099,20.6304,18.9512,19.4334,18.9413,18.2474,1.57069,0.00386455,1.24806,2.91308,+
nlp-10,1.35999,2.38514,Q20114,,Neuropeptide-Like Protein,16.5324,15.7899,15.8383,15.4269,14.7623,14.2231,14.1907,14.9715,2.38514,0.000417197,1.35999,4.49642,+
gcs-1,1.6155,3.76922,Q20117,,Glutamate--cysteine ligase,16.3433,16.1014,16.4443,16.8758,14.9821,14.9971,14.5251,14.7986,3.76922,0,1.6155,8.26154,+
acs-4,1.0888,3.57637,Q20121,,Fatty Acid CoA Synthetase family,18.2801,18.1035,18.4651,18.6473,17.3396,17.4914,17.1442,17.1655,3.57637,0,1.0888,7.62541,+
"CELE_F37C12,3",2.4895,3.58706,Q20122,,Acyl carrier protein,19.3943,19.9545,19.8242,20.1411,17.1616,16.7972,17.2618,18.1356,3.58706,0,2.4895,7.65956,+
exos-9,0.775576,1.13909,Q20128,,EXOSome (Multiexonuclease complex) component,13.9131,14.3695,14.0553,15.0168,12.844,13.5387,14.0053,13.8645,1.13909,0.0150239,0.775576,2.17464,+
"F38B2,4",1.75301,2.95799,Q20140,,Adenylate kinase isoenzyme 1,18.2494,18.561,17.8335,19.218,16.8407,16.7059,16.7787,16.5245,2.95799,0.000136098,1.75301,5.84954,+
"CELE_F38B6,4",1.51168,2.51181,Q20143,,Trifunctional purine biosynthetic protein adenosine-3,14.842,15.7241,14.3156,15.0806,13.345,13.4066,13.3229,13.8412,2.51181,0.000350847,1.51168,4.77536,+
"F38E1,9",1.7209,2.7677,Q20157,,Mannose-P-dolichol utilization defect 1 protein homolog,14.3727,14.0242,14.4428,15.1149,12.8514,12.1574,12.8196,13.2426,2.7677,0.000199425,1.7209,5.3728,+
"hsp-12,3",4.78239,5.47346,Q20164,,Heat Shock Protein,20.5373,20.0603,20.1008,20.9005,15.7546,15.0638,15.5577,16.0932,5.47346,0,4.78239,16.3267,+
cpin-1,-1.27337,0.574036,Q20166,,CyPIN (Guanine aminohydrolase) homolog,14.037,13.6202,13.6303,15.099,14.1466,13.6895,18.0441,15.5998,0.574036,0.0854435,-1.27337,-1.22448,
copb-2,1.17722,2.9389,Q20168,,Probable coatomer subunit beta',17.8984,17.4285,17.156,17.9164,16.4666,16.2156,16.6053,16.403,2.9389,0.000134524,1.17722,5.80036,+
"CELE_F38E9,5",2.0019,3.62181,Q20173,,Uncharacterized protein,17.6056,18.4972,17.7375,17.9513,15.6639,16.423,15.7896,15.9075,3.62181,0,2.0019,7.77143,+
"CELE_F38E9,1",3.1193,4.41701,Q20177,,Uncharacterized protein,16.3902,16.964,17.3141,17.3809,13.6377,14.0434,14.3331,13.5577,4.41701,0,3.1193,10.7505,+
"CELE_F39H12,3",0.695692,1.66883,Q20199,,Uncharacterized protein,16.4267,16.0552,16.4583,17.0231,16.022,15.8804,15.5312,15.7469,1.66883,0.00284015,0.695692,3.08819,+
csq-1,1.37823,2.86169,Q20203,,Calsequestrin,18.7899,18.2707,18.2295,19.0499,17.1756,16.8248,17.3423,17.4844,2.86169,0.000145015,1.37823,5.60461,+
rps-11,1.25663,2.52487,Q20206,,"Ribosomal Protein, Small subunit",18.4361,17.979,18.4592,19.205,17.3041,17.1311,17.1968,17.4207,2.52487,0.000339301,1.25663,4.80472,+
"CELE_F40F4,7",1.26933,2.32205,Q20220,,Uncharacterized protein,14.923,15.0959,15.4207,16.0295,14.2454,13.7546,13.9264,14.4655,2.32205,0.000455814,1.26933,4.3613,+
lbp-1,-1.41956,2.09127,Q20223,,Fatty acid-binding protein homolog 1,17.0949,17.5332,18.022,18.6855,19.0974,19.0995,19.1769,19.64,2.09127,0.000767318,-1.41956,-3.88703,+
lbp-2,0.269498,0.495823,Q20224,,Fatty acid-binding protein homolog 2,20.2442,19.7934,20.2191,20.1615,19.2139,20.1143,19.8008,20.2114,0.495823,0.111342,0.269498,1.08573,
rps-9,0.707993,1.72156,Q20228,,40S ribosomal protein S9,19.4292,19.4386,19.1504,20.1777,18.7908,18.9355,18.8316,18.806,1.72156,0.0025427,0.707993,3.18373,+
lsm-1,1.74312,3.42126,Q20229,,LSM Sm-like protein,15.8648,15.2727,15.5547,15.2436,13.6554,13.6558,13.3609,14.2913,3.42126,0,1.74312,7.14406,+
"F40F8,1",2.04169,3.04954,Q20230,,UMP-CMP kinase 2,17.0824,17.75,17.4706,16.3769,14.6944,15.1286,15.3847,15.3056,3.04954,5.60E-05,2.04169,6.08965,+
drap-1,1.04426,1.10969,Q20237;Q86G95,,DRAP1 corepressor homolog,14.1796,14.0642,14.2671,14.9141,14.3689,12.3658,12.7864,13.7268,1.10969,0.0161854,1.04426,2.12561,+
"CELE_F40G12,5",2.21091,2.78033,Q20246,,Uncharacterized protein,14.9695,15.8453,15.2524,16.5811,13.4288,12.8921,13.7173,13.7664,2.78033,0.000200869,2.21091,5.40355,+
"F41C3,4",2.03108,2.77415,Q20263,,Probable Golgi transport protein 1,14.2554,14.1918,14.4115,15.1671,13.3668,12.0225,12.228,12.2842,2.77415,0.000200385,2.03108,5.3885,+
acs-11,1.19814,2.41802,Q20264,,Fatty Acid CoA Synthetase family,17.106,17.3927,18.0429,18.1817,16.3436,16.4902,16.516,16.5809,2.41802,0.000389968,1.19814,4.56783,+
fip-5,3.26661,4.4792,Q20276,,Fungus-Induced Protein,19.3355,20.6067,20.3229,19.9759,17.0455,16.9219,16.5718,16.6353,4.4792,0,3.26661,11.0218,+
fipr-21,1.30054,2.32112,Q20277,,FIP (Fungus-Induced Protein) Related,20.5647,19.9713,20.486,21.0091,19.3075,19.0769,18.7233,19.721,2.32112,0.000455637,1.30054,4.35932,+
"CELE_F41G3,6",2.02117,4.16987,Q20287,,Uncharacterized protein,16.7972,16.3288,15.8283,16.378,14.3673,14.3551,14.396,14.1293,4.16987,0,2.02117,9.73154,+
elo-5,0.952149,1.64444,Q20300;V6CLH1,,Elongation of very long chain fatty acids protein 5;Elongation of very long chain fatty acids protein,14.199,14.0307,14.1197,14.6559,12.7587,13.4627,14.0128,12.9626,1.64444,0.0030602,0.952149,3.04436,+
elo-6,0.533046,0.408079,Q20303,,Elongation of very long chain fatty acids protein 6,14.833,15.2847,14.248,16.734,15.2315,14.8664,14.148,14.7217,0.408079,0.150981,0.533046,0.924755,
abcf-3,0.981835,2.24791,Q20306,,"ABC transporter, class F",16.1744,16.0077,16.1547,15.2356,14.9294,14.9591,15.046,14.7106,2.24791,0.000612476,0.981835,4.20562,+
"CELE_F42A10,5",0.893703,1.68771,Q20310,,Uncharacterized protein,19.1617,18.9888,18.6732,19.9002,18.5931,18.1507,18.054,18.3514,1.68771,0.00273232,0.893703,3.12227,+
"CELE_F42A10,6",1.29319,2.35494,Q20311,,Uncharacterized protein,18.3405,18.2789,19.495,18.7631,17.2001,17.4219,17.5018,17.581,2.35494,0.000436421,1.29319,4.43143,+
"CELE_F42A10,7",1.2103,3.25523,Q20312,,Uncharacterized protein,14.4622,14.0105,14.4613,14.6323,13.3042,12.9021,13.4574,13.0613,3.25523,0,1.2103,6.65663,+
grl-4,3.32246,2.45912,Q20327,,GRound-Like (Grd related),18.2229,17.7435,17.27,17.9825,15.2123,13.5592,13.1288,16.0289,2.45912,0.000363937,3.32246,4.65805,+
"CELE_F42C5,9",1.65756,1.90874,Q20329,,Uncharacterized protein,16.1294,16.0849,15.7698,17.1124,14.9846,15.3168,14.5476,13.6172,1.90874,0.00156813,1.65756,3.53196,+
ifo-1,2.65497,1.78545,Q20330,,Intermediate Filament Organize,16.3611,17.2733,13.9896,17.1733,13.6615,13.9043,12.8085,13.8032,1.78545,0.00226619,2.65497,3.30093,+
tni-1,1.57985,2.19757,Q20334,,Troponin I 1,17.4513,17.0243,16.3373,18.1508,15.7806,15.4932,15.6647,15.7058,2.19757,0.000653488,1.57985,4.10174,+
"CELE_F42F12,4",0.122654,0.186099,Q20340,,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",14.0152,14.7951,14.3676,15.1363,14.4576,14.4616,14.6519,14.2525,0.186099,0.378442,0.122654,0.475154,
"CELE_F42F12,3",1.85799,2.1375,Q20344,,Uncharacterized protein,14.427,14.3125,12.9949,14.9168,12.2577,12.3465,12.8492,11.7658,2.1375,0.000673425,1.85799,3.97965,+
alh-11,1.40381,2.24883,Q20352;Q8MNS6,,ALdehyde deHydrogenase,15.0852,14.6245,14.9019,15.2214,12.6574,13.809,13.7025,14.049,2.24883,0.00061294,1.40381,4.20752,+
"CELE_F43C9,2",0.594622,0.704991,Q20358,,Uncharacterized protein,15.5342,16.6621,16.4075,17.0603,15.97,15.5177,15.334,16.4639,0.704991,0.0553202,0.594622,1.44998,
sip-1,1.47631,3.14219,Q20363,,Stress-induced protein 1,21.4884,21.9384,21.9391,22.4,20.7374,20.6646,20.3,20.1587,3.14219,5.87E-05,1.47631,6.34019,+
rab-33,3.92959,3.46876,Q20365,,Ras-related protein Rab-33,17.9877,18.1356,17.0597,19.1038,14.0157,14.3828,13.2765,14.8933,3.46876,0,3.92959,7.28873,+
patr-1,0.861104,1.82606,Q20374,,Protein PAT1 homolog 1,14.312,14.3006,14.0288,14.8932,13.1579,13.6924,13.9379,13.302,1.82606,0.00195431,0.861104,3.37631,+
sptl-2,1.9649,0.934815,Q20375,,Serine palmitoyltransferase 2,14.3571,14.2329,14.1206,14.4702,15.4392,11.616,11.7029,10.5632,0.934815,0.0270412,1.9649,1.83491,+
nucb-1,1.03253,3.5602,Q20384;Q8MQ51,,NUCleoBindin homolog,17.2752,17.2244,17.1451,17.575,16.1342,16.3594,16.5091,16.0867,3.5602,0,1.03253,7.57402,+
ppt-1,1.79473,2.87835,Q20390,,Palmitoyl-protein thioesterase 1,15.1538,14.9412,14.6466,14.4883,13.0863,12.8741,12.367,13.7236,2.87835,0.000146193,1.79473,5.64643,+
"CELE_F44D12,2",5.21807,5.25835,Q20392,,Uncharacterized protein,18.2416,17.6402,17.318,18.7747,13.0899,12.4758,12.8358,12.7008,5.25835,0,5.21807,15.0065,+
"F44G4,2",0.44855,0.415923,Q20412,,"Probable NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",16.6972,16.4666,15.7792,17.6367,16.5397,15.5361,15.9282,16.7815,0.415923,0.146922,0.44855,0.939423,
"CELE_F45D3,4",2.97827,6.35652,Q20420;Q52GY5,,Uncharacterized protein,14.4858,14.3531,14.4351,14.3615,11.4756,11.0711,11.6516,11.5241,6.35652,0,2.97827,23.0232,+
mrpl-14,-0.129505,0.232521,Q20430,,"Mitochondrial Ribosomal Protein, Large",14.4221,14.316,14.1615,15.1046,14.4332,14.833,14.6835,14.5724,0.232521,0.306228,-0.129505,-0.576191,
cnep-1,3.08801,4.60989,Q20432,,CTD nuclear envelope phosphatase 1 homolog,14.2846,14.2307,14.2888,15.1628,11.1618,11.594,11.1557,11.7034,4.60989,0,3.08801,11.6124,+
smg-4,1.8877,3.72762,Q20445;Q8WQF3,,Suppressor with Morphological effect on Genitalia,16.127,15.7609,15.1976,15.4921,13.5283,14.0581,13.8495,13.5909,3.72762,0,1.8877,8.12063,+
ztf-7,0.557823,1.79429,Q20448,,Zinc finger putative Transcription Factor family,17.4589,16.7457,17.0189,17.1418,16.7001,16.4809,16.3352,16.6178,1.79429,0.00224564,0.557823,3.31727,+
"CELE_F46G10,1",1.37369,3.51348,Q20476,,Uncharacterized protein,16.3837,16.4601,16.7808,17.1298,15.1114,15.394,15.4354,15.3188,3.51348,0,1.37369,7.42712,+
lact-1,3.13228,4.66849,Q20489,,Beta-LACTamase domain containing,14.4004,14.4178,14.0473,15.1604,11.4753,11.2379,11.1215,11.6622,4.66849,0,3.13228,11.8866,+
rhi-1,1.87945,2.94174,Q20496,,Probable rho GDP-dissociation inhibitor,18.51,18.1406,17.6008,19.0321,16.29,16.3706,16.3164,16.7887,2.94174,0.00013495,1.87945,5.80767,+
haly-1,0.76907,2.05344,Q20502,,Histidine ammonia-lyase,17.4641,17.9109,17.8181,18.342,17.1884,17.1919,17.2324,16.8462,2.05344,0.000840702,0.76907,3.81208,+
acbp-3,-0.360785,0.442412,Q20507,,Acyl-CoA-binding protein homolog 3,16.9435,17.1389,18.151,18.1789,18.2155,18.1236,17.491,18.0254,0.442412,0.132852,-0.360785,-0.988527,
pepm-1,3.01405,4.8958,Q20520,,PEPtidase M1 domain containing,13.7119,14.2708,14.428,14.6136,11.2728,10.9179,11.245,11.5325,4.8958,0,3.01405,13.0085,+
"CELE_F47B8,8",1.27152,2.95606,Q20521,,Uncharacterized protein,14.4583,14.3755,14.2175,15.1657,13.4153,13.3328,13.1545,13.2283,2.95606,0.000135881,1.27152,5.84454,+
"CELE_F47G9,1",1.21271,1.1979,Q20546,,Uncharacterized protein,16.6065,16.2689,17.0785,18.4979,15.4259,15.9669,15.7762,16.432,1.1979,0.0128454,1.21271,2.27305,+
pqn-39,1.20429,2.10168,Q20576,,Prion-like-(Q/N-rich)-domain-bearing protein,16.3045,16.0331,17.2372,16.6894,14.9426,15.4546,15.32,15.7298,2.10168,0.000771153,1.20429,3.90778,+
"CELE_F49C12,7",0.0533226,0.104879,Q20584;Q27GQ5,,Uncharacterized protein,14.4641,13.7459,13.9804,14.0419,13.9556,13.8214,13.9097,14.3323,0.104879,0.571845,0.0533226,0.284687,
rpn-7,1.50863,3.58745,Q20585,,26S proteasome non-ATPase regulatory subunit 6,17.7943,17.1406,17.1276,17.3959,16.0923,15.7052,15.5996,16.0267,3.58745,0,1.50863,7.66081,+
"F49C12,11",1.00703,2.12889,Q20588,,Translation machinery-associated protein 7 homolog,18.7841,18.8187,19.1942,19.8124,17.9229,18.3003,18.2655,18.0926,2.12889,0.000682048,1.00703,3.9623,+
dod-23,3.264,4.36562,Q20615,,Downstream Of DAF-16 (Regulated by DAF-16),18.2592,18.2673,18.1867,19.2634,15.1126,14.7941,15.4699,15.5439,4.36562,0,3.264,10.531,+
skpo-1,1.65209,2.13844,Q20616,,Peroxidase skpo-1,19.4214,20.5075,19.4557,21.0977,18.3358,18.4619,18.5788,18.4974,2.13844,0.000673669,1.65209,3.98154,+
"CELE_F49E2,5",1.1028,2.9654,Q20626,,Uncharacterized protein,20.2565,19.9626,19.7614,20.4429,19.2228,18.9967,18.6999,19.0927,2.9654,0.000136898,1.1028,5.8687,+
pam-1,0.68421,1.36041,Q20627;Q4TT88,,Aminopeptidase,18.4859,18.654,18.5514,19.5245,18.2737,18.2474,18.1777,17.7801,1.36041,0.00765772,0.68421,2.54796,+
cdd-2,-3.41467,4.58263,Q20628,,Cytidine deaminase,13.6698,14.2993,13.6155,14.8529,17.3734,17.5725,17.6203,17.5299,4.58263,0,-3.41467,-11.4869,+
gcsh-2,1.07856,2.37013,Q20634,,Glycine cleavage system H protein,19.2704,20.0948,19.152,19.7216,18.5091,18.2174,18.4577,18.7404,2.37013,0.000439352,1.07856,4.46404,+
gpb-2,1.24541,1.88337,Q20636,,Guanine nucleotide-binding protein subunit beta-2,14.4424,14.4163,14.1173,14.8111,12.9165,12.8152,12.8904,14.1833,1.88337,0.001666,1.24541,3.48387,+
"CELE_F52A8,1",-0.962731,0.711474,Q20637,,Uncharacterized protein,17.6967,17.9079,18.4135,16.9594,18.4384,19.8505,19.355,17.1845,0.711474,0.0544027,-0.962731,-1.46099,
nmy-1,2.73043,4.70303,Q20641,,Non-muscle MYosin,18.1667,18.2338,17.9645,18.8602,15.7721,15.3274,15.4204,15.7837,4.70303,0,2.73043,12.0511,+
"CELE_F52B5,2",1.94868,3.56952,Q20643,,Uncharacterized protein,17.0109,17.0997,17.3409,18.0041,15.0835,15.6431,15.5563,15.3779,3.56952,0,1.94868,7.60362,+
"rpl-25,2",-3.04481,3.41393,Q20647,,60S ribosomal protein L23a 2,16.1597,15.5803,17.5827,16.5908,19.6583,19.4196,19.3993,19.6155,3.41393,0,-3.04481,-7.12197,+
ftt-2,0.939991,1.50878,Q20655,,14-3-3-like protein 2,21.7776,22.8542,22.1664,23.0439,21.2485,21.4741,21.974,21.3855,1.50878,0.00489111,0.939991,2.80426,+
hsp-17,2.57261,2.83258,Q20660;Q7JP52,,Heat Shock Protein,20.0353,20.3263,18.7874,20.9741,17.4974,17.6381,17.2649,17.4322,2.83258,0.000160079,2.57261,5.53207,+
"CELE_F52E4,5",1.24824,3.1909,Q20675,,Uncharacterized protein,17.2453,16.6031,17.2427,17.2059,15.8572,15.9848,15.5021,15.9598,3.1909,6.03E-05,1.24824,6.47506,+
pccb-1,2.46898,3.49481,Q20676;Q8WQF1,,Propionyl Coenzyme A Carboxylase Beta subunit,20.1831,19.986,19.1343,20.7511,17.5393,17.5613,17.5468,17.5312,3.49481,0,2.46898,7.36907,+
sec-3,2.04303,3.73103,Q20678,,Exocyst complex component 1,13.9406,14.1004,14.1611,14.2731,12.1162,11.5383,11.9464,12.7022,3.73103,0,2.04303,8.13211,+
let-268,2.91584,5.03801,Q20679,,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase",17.0264,16.4359,16.7138,17.0417,13.607,13.8668,13.7542,14.3262,5.03801,0,2.91584,13.7601,+
"F52H3,5",0.371522,0.701922,Q20683,,Tetratricopeptide repeat protein 36 homolog,17.2417,16.9924,17.0363,17.8717,16.5561,16.9555,16.8273,17.3173,0.701922,0.0558401,0.371522,1.44477,
lec-2,2.33073,5.26886,Q20684,,GaLECtin,21.8805,22.2713,22.1868,22.5875,19.8026,19.8165,19.982,20.0021,5.26886,0,2.33073,15.0685,+
"CELE_F53B3,6",2.16869,2.96461,Q20711,,Uncharacterized protein,17.4822,17.0767,16.8101,18.3552,15.6418,14.9199,15.3149,15.1729,2.96461,0.000136679,2.16869,5.86666,+
"CELE_F53B7,3",1.80632,1.92346,Q20716,,Uncharacterized protein,17.3021,16.5413,18.081,18.6612,15.9937,15.8547,15.2594,16.2524,1.92346,0.00147354,1.80632,3.56,+
"F53F4,10",-0.23525,0.433633,Q20719,,"Probable NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",18.0355,18.6151,18.4334,17.5804,18.2608,18.5652,18.4954,18.284,0.433633,0.137234,-0.23525,-0.972325,
"CELE_F53F4,11",2.25232,3.88369,Q20720,,Uncharacterized protein,17.7006,17.3649,17.1724,18.1971,15.7498,15.2256,15.2029,15.2474,3.88369,0,2.25232,8.6602,+
"CELE_F53F4,13",0.882227,1.65762,Q20724,,Uncharacterized protein,17.1798,15.9993,16.361,16.8301,15.7048,15.5569,15.5166,16.0629,1.65762,0.00296146,0.882227,3.06802,+
tbcb-1,-0.44383,3.00465,Q20728,,Tubulin-specific chaperone B,16.6497,16.8174,16.7156,16.5522,17.0541,17.1953,17.033,17.2278,3.00465,8.32E-05,-0.44383,-5.97102,+
unc-84,3.03738,4.07491,Q20745,,Nuclear migration and anchoring protein unc-84,16.3457,17.045,16.6066,17.2756,13.8821,13.0552,14.0596,14.1265,4.07491,0,3.03738,9.36374,+
atad-3,0.244477,0.459006,Q20748,,ATPase family AAA domain-containing protein 3,17.1759,16.6103,16.895,17.7291,16.8374,16.9118,16.7992,16.884,0.459006,0.125804,0.244477,1.01897,
iff-2,2.36797,3.72683,Q20751,,Eukaryotic translation initiation factor 5A-2,20.2726,20.1887,19.7554,20.5233,18.1428,17.5574,17.265,18.3029,3.72683,0,2.36797,8.11798,+
stc-1,-0.25497,0.224009,Q20752,,STCH (Truncated HSP) family,14.1144,14.1113,14.0552,15.0546,14.6493,14.0872,13.9557,15.6632,0.224009,0.317767,-0.25497,-0.558017,
