geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 ,,
"C18B2,4",2.04027,1.30127,Q18075,Uncharacterized protein,15.2773,15.5307,15.9659,16.6223,13.2534,14.335,15.6556,11.9911,1.30127,0.03258,2.04027,2.44732,+,,
"C18B2,5",-0.6429,1.83371,Q18076,Uncharacterized protein,16.3311,16.075,16.2256,16.343,17.2136,16.6746,16.4925,17.1658,1.83371,0.0104774,-0.6429,-3.39057,+,,
ugt-48,-0.0910196,0.078104,Q18081,Putative UDP-glucuronosyltransferase ugt-48,15.4922,13.856,13.6125,14.3806,14.4649,14.3244,14.4082,14.5078,0.078104,0.774352,-0.0910196,-0.216995,,,
"C18E9,9",-2.38504,2.41298,Q18089,Uncharacterized protein,12.5094,11.8297,12.2137,12.7912,14.8523,13.9271,14.0747,16.03,2.41298,0.0038381,-2.38504,-4.55682,+,,
tomm-40,0.44325,1.43642,Q18090,Mitochondrial import receptor subunit TOM40 homolog,17.3063,17.4423,17.4843,18.032,17.1356,17.2254,17.0168,17.1141,1.43642,0.0243367,0.44325,2.67851,+,,
"C18E9,5",0.928743,2.10793,Q18091,Uncharacterized protein,16.2427,15.8564,15.6666,16.6296,15.2899,15.1193,14.9051,15.366,2.10793,0.00637652,0.928743,3.92026,+,,
"C18E9,2",-0.610825,0.602157,Q18093,Uncharacterized protein,13.6502,14.3274,12.7337,14.9523,14.5617,14.6264,14.3395,14.5794,0.602157,0.17051,-0.610825,-1.27352,,,
"C18E9,4",0.157945,0.218865,Q18095,Uncharacterized protein,16.716,16.7081,17.3972,16.3542,16.3246,17.1823,16.4602,16.5764,0.218865,0.496217,0.157945,0.546961,,,
rpn-2,0.11477,0.439329,Q18115,26S proteasome non-ATPase regulatory subunit 1,17.1553,17.1177,17.3677,17.4699,17.2435,17.2643,16.9225,17.2213,0.439329,0.26226,0.11477,0.982845,,,
twk-18,1.03736,0.785671,Q18120,TWiK family of potassium channels protein 18,16.734,16.5325,15.8462,16.7694,14.4579,16.4285,16.5718,14.2745,0.785671,0.107251,1.03736,1.58613,,,
"C24A3,1",1.10499,2.00693,Q18126,Uncharacterized protein,14.5598,14.5222,14.9706,14.3236,12.9493,13.4965,13.3058,14.2046,2.00693,0.00725793,1.10499,3.72091,+,,
cal-5,0.452098,1.15047,Q18136,CALmodulin related genes,16.8248,15.8661,16.1356,16.3933,15.8176,15.8726,15.926,15.7951,1.15047,0.0453943,0.452098,2.19365,+,,
cht-3,1.82187,3.91445,Q18143,"Chitinase-like protein C25A8,4",18.3394,18.7696,18.7276,18.9545,17.3582,16.649,16.7283,16.768,3.91445,0.000308642,1.82187,8.77015,+,,
"C25E10,8",1.88972,2.79809,Q18157,Uncharacterized protein,18.0452,16.6997,17.1934,17.6425,15.8759,15.5632,15.6109,14.9719,2.79809,0.00218376,1.88972,5.44698,+,,
swm-1,1.40367,2.95193,Q18158,Sperm activation Without Mating,16.9524,16.7378,16.8382,16.9301,15.5917,14.7629,15.7271,15.7622,2.95193,0.00190213,1.40367,5.8339,+,,
"C25E10,10",0.991327,2.14797,Q18159,Uncharacterized protein,15.7825,15.1282,14.6205,15.2948,14.2685,14.1663,14.0672,14.3586,2.14797,0.00603145,0.991327,4.00078,+,,
dpyd-1,0.326245,1.57301,Q18164,Dihydropyrimidine dehydrogenase [NADP(+)],16.4472,16.525,16.7897,16.7099,16.0672,16.3006,16.3829,16.4162,1.57301,0.0186578,0.326245,2.91718,+,,
smz-1,1.24802,1.17472,Q18167,Sperm Meiosis PDZ domain containing proteins,14.7294,12.6595,13.9253,13.2738,12.1411,13.3888,11.8501,12.216,1.17472,0.043183,1.24802,2.23421,+,,
"C25H3,8",2.16942,3.37245,Q18183,Uncharacterized protein,13.9342,13.6134,12.7154,13.5885,11.3569,11.2118,10.9006,11.7045,3.37245,0.000888073,2.16942,6.99788,+,,
"C25H3,3",0.281272,1.27588,Q18187,Uncharacterized protein,16.6726,16.9797,16.8888,16.8401,16.549,16.8314,16.5116,16.3642,1.27588,0.0345308,0.281272,2.40434,+,,
dnc-4,-1.05541,1.04472,Q18194,DyNactin Complex component,11.7142,11.8216,12.2626,12.6121,14.1287,13.3703,11.831,13.3021,1.04472,0.0578382,-1.05541,-2.01748,,,
elpc-4,0.54263,0.409498,Q18195,Putative elongator complex protein 4,13.5859,12.3637,13.732,14.5687,13.594,12.4755,12.297,13.7132,0.409498,0.285,0.54263,0.927413,,,
"C26B9,5",0.1205,0.30873,Q18198,Uncharacterized protein,16.3655,15.7128,16.3794,16.0551,16.056,15.8867,15.9834,16.1048,0.30873,0.381474,0.1205,0.732963,,,
"C26B9,3",-1.91242,3.00347,Q18200,Uncharacterized protein,12.4488,11.7344,11.9426,12.7743,14.7239,13.9069,13.7364,14.1826,3.00347,0.00165147,-1.91242,-5.96791,+,,
ran-3,0.289057,0.929226,Q18211,Regulator of chromosome condensation,17.216,17.6011,17.0746,17.4848,16.9348,16.9016,17.3507,17.0333,0.929226,0.0761157,0.289057,1.82563,,,
hel-1,0.889802,2.46531,Q18212,Spliceosome RNA helicase DDX39B homolog,18.518,18.1907,18.3334,18.8498,17.8286,17.6554,17.2291,17.6196,2.46531,0.0035706,0.889802,4.67173,+,,
ula-1,0.663978,1.2642,Q18217,NEDD8-activating enzyme E1 regulatory subunit,16.1933,14.9171,15.7108,15.6747,14.8671,15.073,14.7563,15.1435,1.2642,0.0353012,0.663978,2.3846,+,,
mmab-1,-0.290455,0.196659,Q18218,MethylMalonic Aciduria type B homolog,14.9155,13.4874,12.2704,13.8111,13.3536,14.32,14.1078,13.8647,0.196659,0.529896,-0.290455,-0.498569,,,
ntl-9,0.677762,3.61486,Q18224,NOT-Like (Yeast CCR4/NOT complex component),15.8028,15.8049,15.9231,16.0817,15.137,15.3136,15.1155,15.3354,3.61486,0.000705882,0.677762,7.74896,+,,
hint-3,0.582623,0.873111,Q18227,HIstidiNe Triad nucleotide-binding protein,15.7583,15.2608,14.9857,16.1335,15.2131,14.8595,14.3769,15.3582,0.873111,0.086876,0.582623,1.73227,,,
rps-30,-0.508993,0.733272,Q18231,40S ribosomal protein S30,18.2471,18.5938,18.6429,18.4003,19.1169,18.8571,18.1819,19.7642,0.733272,0.121378,-0.508993,-1.49789,,,
"C26F1,3",0.22104,0.248075,Q18232,"Uncharacterized protein C26F1,3",14.6951,14.405,13.6913,13.3207,13.6944,13.4414,14.2902,13.8019,0.248075,0.456549,0.22104,0.609026,,,
spr-2,0.575103,2.04866,Q18240;Q7JMA9,Suppressor of presenilin-2;Suppressor of PResenilin defect,17.0902,17.5638,17.2502,17.587,16.619,16.8156,17.0394,16.7169,2.04866,0.00692298,0.575103,3.80266,+,,
"C27B7,5",-0.916209,1.10373,Q18244,Uncharacterized protein,14.6771,14.5515,13.8042,14.1712,16.3364,14.7547,14.6647,15.1131,1.10373,0.0503912,-0.916209,-2.11567,,,
rap-1,1.31738,3.42911,Q18246,Ras-related protein Rap-1,16.6159,16.3312,16.725,16.4637,15.5651,15.4111,14.8767,15.0134,3.42911,0.000770428,1.31738,7.16783,+,,
dpf-2,1.16246,4.662,Q18253,Dipeptidyl peptidase family member 2,15.6503,15.9064,15.9762,15.9716,14.7951,14.8395,14.5965,14.6236,4.662,0.000202532,1.16246,11.856,+,,
"C27F2,4",0.942843,1.80231,Q18257,Uncharacterized protein,13.3118,14.4218,14.4371,14.1878,12.9404,13.335,13.2917,13.0201,1.80231,0.0112605,0.942843,3.33214,+,,
vps-22,-0.814845,0.298378,Q18258,Vacuolar-sorting protein SNF8,14.8819,13.7552,14.083,15.0161,14.2465,13.5785,18.4848,14.6857,0.298378,0.391973,-0.814845,-0.712232,,,
fust-1,-0.763322,1.70213,Q18265,FUS/TLS RNA binding protein homolog,16.6189,16.6752,15.8163,16.8512,17.3569,17.0322,17.2715,17.3543,1.70213,0.0141188,-0.763322,-3.14841,+,,
spp-10,2.16613,3.20667,Q18276,SaPosin-like Protein family,17.198,18.056,18.1726,17.7778,15.6405,15.1642,15.4051,16.33,3.20667,0.00104153,2.16613,6.51921,+,,
"C29F5,1",0.305395,0.475934,Q18310,Uncharacterized protein,14.9222,15.2529,15.2451,16.1112,14.8299,15.1979,14.8644,15.4177,0.475934,0.239232,0.305395,1.04979,,,
"C29H12,2",1.06738,3.33516,Q18315,Uncharacterized protein,17.9993,17.5682,17.6507,18.1594,16.9294,16.6869,16.6514,16.8404,3.33516,0.00100709,1.06738,6.88785,+,,
"C30B5,4",-0.330737,0.400191,Q18318,Uncharacterized protein,12.5021,12.0523,12.2336,11.923,12.6242,12.5083,11.6211,13.2802,0.400191,0.292287,-0.330737,-0.909941,,,
hil-1,0.17668,0.0828041,Q18336,"Histone H1,X",14.6007,15.7938,13.5043,13.3082,14.3393,15.408,12.9369,13.8161,0.0828041,0.761771,0.17668,0.229087,,,
"C33A12,3",0.225537,0.231569,Q18357,Uncharacterized protein,14.8536,13.4688,14.3852,14.962,14.4185,14.1442,13.6585,14.5464,0.231569,0.478751,0.225537,0.574166,,,
"C33A12,4",1.16761,0.722618,Q18358,Uncharacterized protein,15.3281,13.4991,13.1372,15.0344,14.2412,11.5573,12.9865,13.5434,0.722618,0.124526,1.16761,1.47987,,,
"C33A12,1",-0.129195,0.731498,Q18359,Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,18.0154,18.2061,18.1956,18.3093,18.2593,18.4628,18.1766,18.3444,0.731498,0.121921,-0.129195,-1.49489,,,
ugt-21,0.916819,2.42951,Q18361,UDP-glucuronosyltransferase,12.2248,11.9415,12.2438,12.7288,11.4555,11.147,11.2195,11.6496,2.42951,0.00383226,0.916819,4.59293,+,,
"C33F10,12;CELE_T05F1,8",1.045,0.716544,Q18390;Q9XUR1,Uncharacterized protein,14.9485,12.394,14.6131,15.5315,13.3935,13.0904,12.9956,13.8275,0.716544,0.126331,1.045,1.46958,,,
"C33G8,4",-0.557845,0.623731,Q18399,Uncharacterized protein,14.3502,13.8935,15.2047,13.4381,15.2831,14.7281,14.319,14.7878,0.623731,0.161496,-0.557845,-1.31089,,,
sec-10,3.47107,3.72692,Q18406,Exocyst complex component 5,17.4002,17.6958,17.1229,16.8183,14.0545,14.424,14.0037,12.6707,3.72692,0.000485488,3.47107,8.11827,+,,
tag-322,1.16711,2.67387,Q18407,Uncharacterized protein,12.4407,12.0191,12.2041,12.7966,10.9451,11.1925,11.0258,11.6287,2.67387,0.00246124,1.16711,5.1482,+,,
rsp-6,1.05009,1.32423,Q18409,"Probable splicing factor, arginine/serine-rich 6",17.0235,16.8797,17.547,18.1144,16.6252,15.414,16.505,16.8201,1.32423,0.0309893,1.05009,2.4863,+,,
"C34C12,8",-1.26917,3.51428,Q18421,"GrpE protein homolog, mitochondrial",16.0086,15.3552,15.7129,16.0473,17.1523,17.02,16.8967,17.1317,3.51428,0.000697479,-1.26917,-7.42962,+,,
"C34C6,4",0.586927,0.554186,Q18429,Uncharacterized protein,13.5877,13.8089,12.9454,14.5816,13.5048,12.5092,12.5799,13.982,0.554186,0.194039,0.586927,1.18961,,,
grsp-3,-0.208582,0.0953717,Q18444,Glycine Rich Secreted Protein,14.0584,14.5273,14.5541,11.715,14.4915,12.8952,14.7428,13.5597,0.0953717,0.73031,-0.208582,-0.260974,,,
cyn-12,1.03212,1.32223,Q18445,Peptidyl-prolyl cis-trans isomerase,16.5494,15.7646,15.1788,16.8822,15.2268,14.8527,14.7466,15.4203,1.32223,0.0311217,1.03212,2.4829,+,,
mutd-1,0.616056,1.14068,Q18446,Biogenesis of lysosome-related organelles complex 1 subunit 5,15.5527,16.1108,16.2384,15.9095,14.9158,15.9826,15.0339,15.415,1.14068,0.0463657,0.616056,2.1773,+,,
"C34D4,4",0.198107,0.130516,Q18449,"Uncharacterized Golgi apparatus membrane protein-like protein C34D4,4",12.4748,12.1319,12.0576,12.7945,12.8168,11.6036,10.9351,13.3108,0.130516,0.654316,0.198107,0.347012,,,
rsd-3,-0.86897,1.20976,Q18453,Uncharacterized protein,12.6421,13.0865,12.46,13.3326,12.9861,13.9565,13.5461,14.5085,1.20976,0.0397166,-0.86897,-2.29296,+,,
"C34F11,5",2.91332,2.89537,Q18462,Tyrosine-protein kinase,17.6322,17.6272,17.8231,17.9881,15.1463,16.1547,14.1382,13.9781,2.89537,0.00196714,2.91332,5.68939,+,,
ugt-33,0.900048,2.44539,Q18470,UDP-GlucuronosylTransferase,12.0903,12.0719,12.2101,12.7547,11.4477,11.223,11.1929,11.6631,2.44539,0.00366694,0.900048,4.62778,+,,
"C35A5,8",0.749374,1.32381,Q18476,Uncharacterized protein,17.1201,16.3752,17.2438,16.9372,16.3949,15.929,15.6579,16.697,1.32381,0.0310275,0.749374,2.48559,+,,
"C35D10,6",0.0343499,0.0234682,Q18483,Uncharacterized protein,15.0775,15.2761,15.0178,13.6937,15.3735,14.1101,14.1636,15.2805,0.0234682,0.926535,0.0343499,0.068784,,,
"C35D10,10",0.457384,0.480359,Q18484,Thioredoxin-related transmembrane protein 2 homolog,14.4386,12.9806,14.552,13.888,14.0133,12.9477,13.7885,13.2803,0.480359,0.236112,0.457384,1.05781,,,
"C35D10,5",-0.639366,0.486281,Q18485,Uncharacterized protein,14.0168,12.9923,12.8618,12.8305,14.962,12.5645,13.3902,14.3422,0.486281,0.232958,-0.639366,-1.06852,,,
coq-8,1.57678,3.03745,Q18486,"Atypical kinase coq-8, mitochondrial",15.9013,14.9617,14.7895,15.1903,13.4842,13.8843,13.6391,13.528,3.03745,0.00152276,1.57678,6.05753,+,,
"C35D10,13",-0.7582,2.54581,Q18490,Uncharacterized protein,16.1426,15.6012,15.8962,15.8925,16.8548,16.4689,16.4339,16.8076,2.54581,0.00313937,-0.7582,-4.85206,+,,
"C36A4,4",0.706625,4.01725,Q18493,Probable UDP-N-acetylglucosamine pyrophosphorylase,15.8909,15.8493,16.0641,16.0793,15.1878,15.3374,15.3629,15.169,4.01725,0.000346021,0.706625,9.14647,+,,
"maph-1,3",-0.66527,2.35205,Q18494,Microtubule-Associated Protein Homolog,16.6054,16.2751,16.2029,16.3736,17,16.9314,16.8102,17.3765,2.35205,0.00437879,-0.66527,-4.42524,+,,
acs-19,-0.529922,0.889467,Q18496;Q65ZB8,Acetyl-coenzyme A synthetase,14.7275,13.7907,13.8596,13.3194,14.4332,14.2778,14.5068,14.5991,0.889467,0.0832445,-0.529922,-1.75951,,,
flp-9,1.07547,2.84739,Q18502,FMRFamide-like neuropeptides 9,12.5678,11.9166,12.3245,12.5477,11.4201,10.9327,11.2418,11.46,2.84739,0.00214831,1.07547,5.5689,+,,
mel-28,0.222438,0.762825,Q18508,Protein mel-28,14.7543,14.5954,14.5694,15.0856,14.4104,14.741,14.5689,14.3946,0.762825,0.113653,0.222438,1.54773,,,
"C38H2,2",1.2955,1.628,Q18515,Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1,12.419,11.5885,13.2648,12.5718,11.7122,11.212,11.2673,10.4707,1.628,0.0163509,1.2955,3.01492,+,,
"C39D10,7",1.51614,4.14324,Q18529,Uncharacterized protein,20.8853,20.7793,20.656,20.783,19.4092,18.9764,19.0443,19.6093,4.14324,0.00012749,1.51614,9.62712,+,,
"C39E9,8",0.346232,0.480434,Q18541,Uncharacterized protein,17.9481,18.0963,17.9897,18.2196,18.1769,17.5955,16.8562,18.2403,0.480434,0.236157,0.346232,1.05795,,,
"C39E9,12",0.74693,0.423723,Q18546,Uncharacterized protein,15.9785,15.6173,16.9602,13.374,14.5324,15.2585,14.7963,14.3551,0.423723,0.274281,0.74693,0.953951,,,
rfc-3,1.19608,3.04719,Q18547,RFC (DNA replication factor) family,15.4999,15.3317,15.502,15.7913,14.206,13.9838,14.3528,14.7979,3.04719,0.00154622,1.19608,6.08338,+,,
"C39H7,4",0.631263,1.09564,Q18550,Uncharacterized protein,16.1432,15.67,15.2668,16.2149,15.3592,14.9597,14.7732,15.6777,1.09564,0.0510022,0.631263,2.10219,,,
rpc-1,0.892687,0.558,Q18566,DNA-directed RNA polymerase subunit,12.9912,13.735,13.5599,14.3029,12.8416,14.557,11.1915,12.4282,0.558,0.192254,0.892687,1.19633,,,
"C42D4,1",0.45195,1.75783,Q18577,Uncharacterized protein,20.345,20.6834,20.5966,20.7218,19.9702,20.1148,20.4522,20.0018,1.75783,0.0124565,0.45195,3.25006,+,,
"C43H6,3",0.538895,0.747492,Q18587,Uncharacterized protein,14.9495,15.3238,15.72,16.2836,15.0044,14.458,15.2298,15.4292,0.747492,0.117767,0.538895,1.5219,,,
"C44B7,5",1.17372,2.28779,Q18594,"Uncharacterized protein C44B7,5",19.2427,20.0175,19.972,19.4486,18.8718,18.4767,18.6728,17.9647,2.28779,0.00497048,1.17372,4.28895,+,,
"C44B7,7",-0.444305,2.01982,Q18596,Uncharacterized protein,14.2555,14.4731,14.6033,14.7569,15.0596,15.0528,14.9035,14.8502,2.01982,0.00717441,-0.444305,-3.74607,+,,
pmp-1,-0.0859249,0.0283701,Q18597,Peroxisomal Membrane Protein related,13.8615,13.5382,17.348,13.8555,14.7744,15.6985,15.1733,13.3008,0.0283701,0.913097,-0.0859249,-0.0827218,,,
pmp-2,1.33591,3.17082,Q18598,Peroxisomal Membrane Protein related,13.9969,14.5028,13.8811,14.0993,13.2441,12.5207,12.696,12.6757,3.17082,0.00117431,1.33591,6.41921,+,,
acer-1,-0.922415,2.80838,Q18599,ACEtyl-CoA Regulator,18.5947,19.0222,18.9385,19.0716,20.0798,19.7447,19.9892,19.5029,2.80838,0.00214054,-0.922415,-5.47227,+,,
"C44B7,11",0.449597,0.73243,Q18600,Putative endoplasmic reticulum metallopeptidase 1-B,14.1625,13.8066,13.3003,13.5047,13.2821,13.1459,12.7049,13.8428,0.73243,0.12163,0.449597,1.49647,,,
chil-10,-0.0390224,0.0547296,Q18607,CHItinase-Like,15.0908,14.6934,14.3242,14.8867,14.4832,15.3249,14.7921,14.5511,0.0547296,0.835695,-0.0390224,-0.155406,,,
"C44E12,1",1.05233,1.00492,Q18621,Uncharacterized protein,15.2493,13.796,14.957,16.1847,13.9662,13.6464,13.7417,14.6235,1.00492,0.063839,1.05233,1.95135,,,
lec-4,-0.0252247,0.0372385,Q18625,Galectin,17.1057,16.9237,17.2434,17.0655,17.2455,16.6953,16.814,17.6842,0.0372385,0.886049,-0.0252247,-0.10759,,,
dhs-18,1.8713,1.83708,Q18639,"DeHydrogenases, Short chain",15.7265,16.5583,15.9976,17.395,14.3193,15.7551,14.1698,13.9479,1.83708,0.0103795,1.8713,3.39688,+,,
"C45E5,1",-2.36345,3.56654,Q18645,Uncharacterized protein,12.5568,12.1681,12.1316,12.595,15.3451,14.0351,14.5218,15.0034,3.56654,0.000744395,-2.36345,-7.59414,+,,
"C46A5,6",-0.850373,2.68169,Q18650,Uncharacterized protein,12.8454,12.5737,12.8719,12.4607,13.6127,13.377,13.8702,13.2933,2.68169,0.00248047,-0.850373,-5.16667,+,,
"C46C2,2",1.67003,2.89755,Q18655,Uncharacterized protein,16.8238,15.9177,16.055,16.5437,15.0905,14.4309,14.2209,14.9178,2.89755,0.00197176,1.67003,5.69491,+,,
acs-17,0.5326,1.33268,Q18660,Fatty Acid CoA Synthetase family,15.0045,14.81,15.1306,15.5564,14.1883,14.6485,14.6752,14.8592,1.33268,0.0304596,0.5326,2.50068,+,,
"C47D12,2",2.28646,4.96498,Q18668,Uncharacterized protein,13.4992,13.4764,13.5277,13.5882,11.4787,10.8411,11.0707,11.5552,4.96498,0,2.28646,13.3692,+,,
nep-1,0.0765026,0.094429,Q18673,Neprilysin-1,15.7608,15.1425,14.9924,14.578,14.9996,15.0966,14.6332,15.4384,0.094429,0.732694,0.0765026,0.258604,,,
"C47E12,7",1.08938,1.11177,Q18674,Ribosomal RNA processing protein 1 homolog,13.9268,14.9635,15.2318,15.419,12.8674,14.0559,13.5563,14.704,1.11177,0.0492765,1.08938,2.12907,+,,
dhp-2,-1.30651,2.31165,Q18677,Dihydropyrimidinase 2,14.4142,14.5556,14.7306,15.6709,15.9873,15.9648,16.2841,16.3611,2.31165,0.00475494,-1.30651,-4.33926,+,,
srs-2,-0.0397048,0.0496402,Q18678,"Probable serine--tRNA ligase, cytoplasmic",18.0682,17.202,17.9536,18.5422,17.878,18.0389,17.9597,18.0481,0.0496402,0.850504,-0.0397048,-0.141654,,,
pyp-1,-0.395805,1.16351,Q18680,Probable inorganic pyrophosphatase 1,19.5452,19.3571,19.2023,19.8364,20.0548,19.843,19.5695,20.057,1.16351,0.044077,-0.395805,-2.21545,+,,
unc-112,0.783195,2.10413,Q18685,Protein unc-112,16.8477,16.3489,16.6045,17.1093,15.8333,15.8746,15.7814,16.2884,2.10413,0.00638065,0.783195,3.91268,+,,
daf-21,0.528492,1.92837,Q18688,Heat shock protein 90,19.7927,19.4529,19.7768,20.027,19.2951,19.1387,19.0474,19.4543,1.92837,0.00849115,0.528492,3.56938,+,,
"C47E8,4",0.41368,0.31663,Q18691,Protein FAM50 homolog,12.2187,12.8152,14.6344,14.0021,13.1401,13.0564,12.9419,12.8772,0.31663,0.372564,0.41368,0.748675,,,
pitr-1,0.792785,1.52828,Q18697;W6RS06,Phosphate transporter,13.8801,14.8022,14.5801,14.4766,13.2575,14.1235,13.801,13.3859,1.52828,0.020488,0.792785,2.8384,+,,
"C49C8,5",0.36225,0.629143,Q18705,Uncharacterized protein,15.9344,15.048,14.9992,15.2901,14.7264,14.6315,15.0956,15.3692,0.629143,0.158881,0.36225,1.32023,,,
"C49F8,3",-0.798978,2.12743,Q18709,Uncharacterized protein,14.7525,14.3051,14.3792,14.6536,15.5982,14.8771,15.2287,15.5823,2.12743,0.00613953,-0.798978,-3.95937,+,,
"C50F4,1",-0.23009,0.207877,Q18739,Uncharacterized protein,15.5348,14.0884,14.644,15.0197,15.6263,14.5963,14.418,15.5666,0.207877,0.51262,-0.23009,-0.523154,,,
"C50F4,6",-1.38802,0.928076,Q18742,Uncharacterized protein,13.7667,14.3129,12.0322,15.4501,14.6349,15.4408,15.9162,15.1221,0.928076,0.0762711,-1.38802,-1.82371,,,
klo-1,0.231572,0.162132,Q18758,KLOtho (Mammalian aging-associated protein) homolog,14.3035,15.8876,14.2413,14.5824,13.6018,14.4611,15.5221,14.5034,0.162132,0.590561,0.231572,0.420965,,,
"C52E12,1",-0.183665,0.269277,Q18782,Uncharacterized protein,15.2009,14.8087,15.4038,14.228,15.0544,15.3907,14.8591,15.0718,0.269277,0.427243,-0.183665,-0.653052,,,
snr-4,-0.524988,1.95224,Q18786,Probable small nuclear ribonucleoprotein Sm D2,16.4651,16.587,15.9262,16.3779,16.8501,16.8732,16.8248,16.908,1.95224,0.00815278,-0.524988,-3.6151,+,,
rpt-1,0.309007,0.967709,Q18787,26S protease regulatory subunit 7,17.5053,17.0739,17.6056,17.4743,17.1131,16.958,16.9261,17.4258,0.967709,0.0696419,0.309007,1.88955,,,
"C52E4,5",0.52285,0.806202,Q18788,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase C52E4,5",14.6999,14.6019,13.9592,15.3823,14.073,13.943,13.9892,14.5467,0.806202,0.101931,0.52285,1.62055,,,
col-119,-1.08234,1.10043,Q18799,COLlagen,16.2007,16.9638,14.6188,15.5323,16.6581,16.7468,17.1329,17.1073,1.10043,0.0506404,-1.08234,-2.11017,,,
bre-1,-1.16531,5.02032,Q18801,"GDP-mannose 4,6 dehydratase 1",15.4099,15.5046,15.7292,15.7248,16.6738,16.8042,16.7667,16.785,5.02032,0,-1.16531,-13.6644,+,,
asg-2,-0.355435,0.81042,Q18803,"Probable ATP synthase subunit g 2, mitochondrial",18.6142,19.411,18.9054,19.1359,19.0828,19.5489,19.6595,19.197,0.81042,0.100954,-0.355435,-1.62761,,,
"C53B7,2",1.20649,4.78985,Q18805,Uncharacterized protein,17.6208,17.6592,17.6468,17.4828,16.217,16.3386,16.393,16.635,4.78985,0,1.20649,12.4738,+,,
rig-3,-0.219418,0.374165,Q18806,Neuronal immunoglobulin domain-containing protein rig-3,13.322,13.2934,13.3241,13.9568,13.5562,14.0314,13.196,13.9904,0.374165,0.315118,-0.219418,-0.860603,,,
"C53D6,7",0.192318,0.143925,Q18813,Galectin,14.3935,12.9873,13.9434,13.4479,12.6444,14.173,12.968,14.2173,0.143925,0.626149,0.192318,0.378743,,,
ben-1,-0.44065,1.29173,Q18817,Tubulin beta chain,17.7177,17.6975,17.5118,17.9815,18.2798,18.3798,17.7123,18.2991,1.29173,0.0333344,-0.44065,-2.43116,+,,
alh-10,0.969185,2.09649,Q18822,ALdehyde deHydrogenase,15.2083,14.927,14.7448,14.8027,14.4123,13.5513,13.5747,14.2676,2.09649,0.00643995,0.969185,3.89742,+,,
lam-2,0.67409,3.19227,Q18823,Laminin-like protein lam-2,16.7771,16.5995,16.3985,16.6968,16.1159,15.8192,15.9624,15.8779,3.19227,0.00115542,0.67409,6.47889,+,,
rskn-2,0.900397,1.25307,Q18846,Putative ribosomal protein S6 kinase alpha-2,13.8145,14.7143,13.6859,14.8455,13.953,12.9716,13.0013,13.5328,1.25307,0.0361252,0.900397,2.36583,+,,
dod-18,-0.414037,2.23421,Q18851,Downstream Of DAF-16 (Regulated by DAF-16),14.9507,14.9469,15.2086,15.1674,15.615,15.2826,15.5145,15.5177,2.23421,0.0051531,-0.414037,-4.17721,+,,
cyc-1,-0.0267873,0.0348542,Q18853,CYtochrome C,17.9234,17.48,17.7489,18.0968,18.2402,17.7515,17.2242,18.1402,0.0348542,0.893698,-0.0267873,-0.100947,,,
"C54G4,9",1.65204,2.90668,Q18854,Uncharacterized protein,12.4523,13.2454,12.4669,13.5806,11.4456,11.2085,11.2635,11.2194,2.90668,0.00194097,1.65204,5.71809,+,,
sft-4,0.33696,0.639033,Q18864,Surfeit locus protein 4 homolog,16.3149,16.1585,15.6751,16.2018,15.8827,15.3151,15.5356,16.269,0.639033,0.154901,0.33696,1.33727,,,
"C56A3,5",0.253435,0.167367,Q18877,Uncharacterized protein,15.4931,14.4564,14.8706,17.0753,15.158,15.0266,15.1566,15.5405,0.167367,0.580283,0.253435,0.432932,,,
icd-1,-1.07493,3.87659,Q18885,Transcription factor BTF3 homolog,19.4216,19.9129,19.7143,19.508,20.7153,20.5979,20.8734,20.67,3.87659,0.00039521,-1.07493,-8.63501,+,,
"vps-32,1",-0.0584826,0.189974,Q18886,Related to yeast Vacuolar Protein Sorting factor,17.0394,17.019,16.8099,17.0562,17.2743,16.8159,16.9108,17.1573,0.189974,0.541358,-0.0584826,-0.483779,,,
aipr-1,0.971735,2.34107,Q18888,Aryl hydrocarbon receptor Interacting Protein (AIP) Related,12.5457,11.8918,12.2984,12.7588,11.4893,11.1539,11.2738,11.6908,2.34107,0.00449028,0.971735,4.40178,+,,
cgp-1,0.741827,2.03288,Q18905,GTP-binding protein cgp-1,16.0147,15.9225,16.2823,16.5647,15.4434,15.2592,15.2798,15.8345,2.03288,0.00704321,0.741827,3.77165,+,,
cebp-1,1.43333,2.22943,Q18909,C/EBP (CCAAT/enhancer-binding protein) homolog,15.4355,15.2957,15.655,15.7224,13.2602,13.8744,14.6736,14.567,2.22943,0.00535901,1.43333,4.16731,+,,
"CELE_D1005,2",1.90452,0.755957,Q18910,Uncharacterized protein,12.4329,9.92196,12.308,12.7483,11.4836,9.65848,7.07227,11.5788,0.755957,0.115537,1.90452,1.53617,,,
