geneName,log2FC,pvalue,Protein IDs,Protein.names,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03, -Log.p.value, Student's T-test q-value rpn6_ev,log2FC,Student's T-test Test statistic rpn6_ev,Sign p-val: 0.05 
,1.02821,0.972087,P91020,,29.2087,28.9759,29.6939,27.3824,28.8429,28.5686,0.972087,0.0937021,1.02821,2.07489,
chdp-1,0.162854,0.486245,P91027,,32.1487,31.9066,31.801,31.8483,31.931,31.5884,0.486245,0.34383,0.162854,1.1174,
,-0.208222,0.270366,P91125,,27.7326,27.9706,27.7722,28.6323,27.7285,27.7393,0.270366,0.642537,-0.208222,-0.675179,
rpl-13,-0.578953,0.568423,P91128,60S ribosomal protein L13,31.8378,31.9769,31.0291,31.5077,32.5494,32.5236,0.568423,0.271462,-0.578953,-1.27876,
adss-1,0.241666,0.295952,P91134,Adenylosuccinate synthetase,31.2691,31.9745,31.9565,31.1901,31.328,31.9569,0.295952,0.602594,0.241666,0.729933,
C37H5.5,1.86125,1.35838,P91136,Nucleolar complex protein 3 homolog,27.0348,26.6565,26.9554,23.7697,25.7728,25.5204,1.35838,0.0414209,1.86125,2.90688,+
cogc-5,0.30759,0.4163,P91151,,27.4632,27.2484,27.3446,26.4613,27.1623,27.5096,0.4163,0.422032,0.30759,0.978018,
acin-1,0.55521,1.50245,P91156,,31.851,31.996,31.4746,31.0781,31.3094,31.2684,1.50245,0.0326951,0.55521,3.24768,+
,1.0954,1.14215,P91175,,27.1201,27.0179,26.5375,25.3356,25.4316,26.622,1.14215,0.0628051,1.0954,2.42865,
fkb-5,-0.219724,0.147957,P91180;Q95Q60,Peptidyl-prolyl cis-trans isomerase,29.8246,30.0313,31.1105,29.8023,30.7398,31.0835,0.147957,0.823497,-0.219724,-0.397521,
,0.504246,0.371783,P91194,,26.6992,26.4898,25.952,24.8576,26.5887,26.182,0.371783,0.478538,0.504246,0.887752,
ppfr-2,0.49374,0.652128,P91198,,27.0004,26.6275,25.9352,26.0382,26.2658,25.7779,0.652128,0.214095,0.49374,1.44193,
grsp-4,-0.316254,0.474029,P91207,,28.1982,28.6693,28.8336,28.451,29.0531,29.1457,0.474029,0.35744,-0.316254,-1.09323,
,-0.167617,0.150464,P91223,,28.9769,28.4426,28.1499,28.038,29.166,28.8682,0.150464,0.824878,-0.167617,-0.403544,
,-0.4618,0.399119,P91230,,27.3951,27.3724,27.6205,28.889,27.3933,27.4911,0.399119,0.443498,-0.4618,-0.943352,
F08D12.1,0.944843,1.25673,P91240,Signal recognition particle subunit SRP72,29.9491,29.9041,29.9116,29.1111,28.31,29.5091,1.25673,0.0498953,0.944843,2.67754,+
gst-7,-0.506723,0.81785,P91253,Probable glutathione S-transferase 7,30.6645,30.3935,30.9707,31.6173,31.1142,30.8174,0.81785,0.14158,-0.506723,-1.76623,
ima-2,0.661508,1.11312,P91276,Importin subunit alpha-2,26.9992,27.4942,27.104,26.9453,26.5378,26.1298,1.11312,0.0680225,0.661508,2.36703,
,1.19779,1.21343,Q8I7G8;P91277,,31.7407,30.3546,30.3758,29.6797,29.4874,29.7106,1.21343,0.055058,1.19779,2.58236,
,-2.48108,2.29692,P91280,,24.1226,23.9024,23.6169,27.0527,26.4288,25.6038,2.29692,0.0104843,-2.48108,-5.58294,+
atp-3,1.204,3.06033,P91283;Q7JNG1,,31.7187,31.5406,31.5054,30.5183,30.4846,30.1499,3.06033,0.00151295,1.204,8.92794,+
vha-10,-0.565907,0.768736,P91303,Probable V-type proton ATPase subunit G,26.2819,26.8708,26.603,26.5774,27.542,27.3341,0.768736,0.159732,-0.565907,-1.66961,
cey-2,0.962226,0.744509,P91306,,32.0313,32.0749,31.9551,29.88,31.5437,31.7509,0.744509,0.168736,0.962226,1.62215,
spd-5,-3.9363,4.75126,P91349,Spindle-defective protein 5,23.8895,24.1047,23.8442,27.6003,28.0595,27.9874,4.75126,0,-3.9363,-24.0495,+
mrpl-24,0.0658366,0.167901,P91353,"Probable 39S ribosomal protein L24, mitochondrial",29.0072,28.5995,28.542,28.6486,28.6144,28.6882,0.167901,0.799796,0.0658366,0.444971,
rpl-15,-0.137958,0.191877,P91374,60S ribosomal protein L15,29.9849,29.9574,30.035,29.5862,30.339,30.4661,0.191877,0.76876,-0.137958,-0.500714,
cey-3,1.04408,1.22304,P91398,,29.8028,29.7091,30.2181,28.1276,29.2188,29.2513,1.22304,0.0539073,1.04408,2.60337,
,-0.19806,0.366967,P91423,,32.1599,32.6949,31.9923,32.3284,32.5292,32.5836,0.366967,0.486696,-0.19806,-0.877895,
pgk-1,0.66831,1.3408,P91427,Probable phosphoglycerate kinase,30.7495,30.93,30.6575,29.6728,30.3234,30.3358,1.3408,0.0424306,0.66831,2.8666,+
uba-5,1.32637,2.58255,P91430,Ubiquitin-like modifier-activating enzyme 5,27.9674,28.3466,28.4511,26.7964,27.196,26.7937,2.58255,0.00705376,1.32637,6.67728,+
,-5.24481,4.34728,P91482,,24.0865,24.0566,24.1196,29.1189,29.0001,29.8782,4.34728,0,-5.24481,-19.0269,+
,3.55469,5.00108,P91491,,28.1248,27.815,28.0033,24.5311,24.2456,24.5023,5.00108,0,3.55469,27.7889,+
usp-5,0.595477,1.15743,P91502,Ubiquitin carboxyl-terminal hydrolase,29.7521,29.3803,29.1785,29.1726,28.7695,28.5825,1.15743,0.0604988,0.595477,2.4613,
F26H9.5,-3.44187,3.46071,P91856,Probable phosphoserine aminotransferase,25.0439,24.1285,25.0159,28.1115,28.2579,28.1444,3.46071,0.00207092,-3.44187,-11.3281,+
rab-5,-0.774455,1.01688,P91857,,28.2386,29.0193,28.9338,30.0034,29.1386,29.3731,1.01688,0.0834387,-0.774455,-2.16649,
fasn-1,0.516204,1.13255,P91871,,30.4278,30.2814,30.5946,29.6047,29.8765,30.274,1.13255,0.0647314,0.516204,2.40822,
mec-12,0.7201,0.440995,P91910,Tubulin alpha-3 chain,25.0483,26.6646,27.2863,26.0279,25.3074,25.5035,0.440995,0.394899,0.7201,1.02752,
ola-1,0.525197,0.956336,P91917;E2JL06,Obg-like ATPase 1,32.3077,32.5081,32.3359,32.3536,31.6646,31.558,0.956336,0.099025,0.525197,2.04291,
,0.23079,0.269674,P91982,Alpha-amylase,26.245,25.6515,25.4586,25.1144,25.9717,25.5766,0.269674,0.643258,0.23079,0.673686,
,-0.956147,1.67718,P91988,,26.3095,25.9026,25.7622,27.0636,26.5571,27.2222,1.67718,0.0239791,-0.956147,-3.68943,+
,-0.588307,0.809855,P91998,,25.1593,24.7931,24.7988,24.9452,25.5414,26.0295,0.809855,0.144757,-0.588307,-1.75046,
cpz-2,-3.10213,3.10712,P92005,,24.0726,24.091,24.1002,26.5154,27.5567,27.4981,3.10712,0.00159563,-3.10213,-9.18168,+
,-1.76211,1.8573,P92020,,28.9661,28.883,28.0189,30.4317,30.8669,29.8556,1.8573,0.0171325,-1.76211,-4.18254,+
daf-7,1.09725,1.46271,P92172,Dauer larva development regulatory growth factor daf-7,28.5328,28.4226,29.1407,28.0233,27.1066,27.6745,1.46271,0.0342849,1.09725,3.1517,+
let-502,-0.492833,0.573264,P92199,Rho-associated protein kinase let-502,26.9184,26.3106,26.6187,27.7129,26.5366,27.0766,0.573264,0.268099,-0.492833,-1.28822,
ucr-1,0.783173,1.34843,P98080,"Cytochrome b-c1 complex subunit 1, mitochondrial",31.7237,31.5879,31.542,31.3504,30.6899,30.4637,1.34843,0.0416202,0.783173,2.88405,+
B0464.6,0.457493,0.314925,Q03564,Uncharacterized protein B0464.6,27.6327,27.4308,27.7986,26.0125,27.5598,27.9174,0.314925,0.571152,0.457493,0.769994,
C38C10.2,0.642711,0.324791,Q03567,Uncharacterized transporter slc-17.2,27.0466,29.4835,28.9332,28.4794,27.3112,27.7446,0.324791,0.554883,0.642711,0.790662,
ttr-5,0.383044,1.03898,Q03575,Transthyretin-like protein 5,30.1024,29.8153,30.1936,29.8429,29.7154,29.404,1.03898,0.0797489,0.383044,2.21206,
drs-1,0.383533,0.296089,Q03577,"Aspartate--tRNA ligase, cytoplasmic",30.5234,30.3549,29.0213,29.1353,29.799,29.8147,0.296089,0.602778,0.383533,0.730222,
ina-1,2.59776,4.30517,Q03600,Integrin alpha ina-1,27.0693,26.8803,27.1956,24.5565,24.5563,24.2391,4.30517,0,2.59776,18.567,+
rnr-1,-1.59508,1.7422,Q03604,Ribonucleoside-diphosphate reductase large subunit,27.0903,26.9598,27.1109,27.8381,29.1634,28.9447,1.7422,0.0212741,-1.59508,-3.86272,+
ges-1,0.109521,0.0567383,Q04457,Gut esterase 1,28.3754,27.3221,27.6106,28.7474,26.7272,27.5049,0.0567383,0.93004,0.109521,0.16421,
lrp-1,0.921157,2.58633,Q04833,Low-density lipoprotein receptor-related protein,25.8969,26.2005,26.2398,25.1118,25.101,25.3608,2.58633,0.00678261,0.921157,6.6929,+
rpn-3,0.474237,0.676864,Q04908,26S proteasome non-ATPase regulatory subunit 3,27.0235,26.8934,26.7996,27.054,26.1007,26.1391,0.676864,0.198555,0.474237,1.49011,
C30C11.4,-0.183327,0.395318,Q05036,Uncharacterized protein C30C11.4,30.3926,30.3607,30.7521,30.9449,30.6868,30.4237,0.395318,0.447437,-0.183327,-0.935653,
,-0.380278,0.774882,Q067X2,,33.2493,33.8897,33.8799,34.178,34.075,33.9068,0.774882,0.157543,-0.380278,-1.68167,
unc-60,1.97234,1.46853,Q07749,"Actin-depolymerizing factor 2, isoform c",31.3676,31.3049,31.3859,28.1354,30.015,29.9909,1.46853,0.0340622,1.97234,3.16566,+
dig-1,-0.260044,0.365034,Q09165;Q8MQ08,Mesocentin,32.0695,31.6908,32.5804,32.0771,32.503,32.5407,0.365034,0.488495,-0.260044,-0.873933,
B0495.7,-0.589013,0.685298,Q09216,Putative endoplasmic reticulum metallopeptidase 1-A,28.1157,28.4473,28.0979,29.5541,28.3752,28.4986,0.685298,0.194316,-0.589013,-1.50655,
cpna-2,1.05346,1.42314,Q09221,Copine family protein 2,28.8463,29.3881,29.2592,27.5128,28.3235,28.4969,1.42314,0.036816,1.05346,3.05764,+
C08B11.9,-3.74953,3.98575,Q09227,Uncharacterized protein C08B11.9,24.1381,24.0781,24.1649,27.3996,28.1853,28.0446,3.98575,0.00113684,-3.74953,-15.4154,+
C09F5.1,2.37593,2.68652,Q09231,BRICHOS domain-containing protein C09F5.1,29.8535,30.0078,29.6174,27.7441,27.7837,26.823,2.68652,0.00529183,2.37593,7.11865,+
C13B9.3,0.154826,0.679369,Q09236,Probable coatomer subunit delta,29.9438,30.1846,30.0023,29.7661,29.8785,30.0216,0.679369,0.197233,0.154826,1.495,
C18H9.3/C18H9.2,-1.47323,1.60688,Q09237,GYF domain-containing protein C18H9.3,28.0301,28.3647,28.5988,29.0439,30.302,30.0674,1.60688,0.0249589,-1.47323,-3.50765,+
dnc-2,0.43915,0.820909,Q09248,Probable dynactin subunit 2,31.9293,31.8258,31.9618,30.9924,31.6008,31.8063,0.820909,0.140297,0.43915,1.77227,
glod-4,-1.56531,1.97779,Q09253,Glyoxalase 1,26.8411,26.5331,26.604,27.5603,28.5661,28.5477,1.97779,0.0151297,-1.56531,-4.53655,+
C45G9.5,3.1691,2.93439,Q09278,Uncharacterized protein C45G9.5,28.2726,27.7434,26.961,24.5084,24.4162,24.5449,2.93439,0.00233028,3.1691,8.27665,+
C56G2.1/C56G2.2,2.20158,3.62903,Q09285,KH domain-containing protein C56G2.1,28.6654,28.4463,28.7153,26.1927,26.3202,26.7094,3.62903,0.0015625,2.20158,12.5091,+
C56G2.7,1.19966,1.04843,Q09289,Proteasomal ubiquitin receptor ADRM1 homolog,29.2803,29.0177,29.1157,26.8844,28.5932,28.3372,1.04843,0.0783365,1.19966,2.23165,
mel-47,-0.190133,0.181279,Q09293,Maternal effect lethal protein 47,27.5774,27.1163,27.1681,28.2166,27.1756,27.04,0.181279,0.781911,-0.190133,-0.476239,
ndx-6,0.125569,0.185166,Q09297,Putative nudix hydrolase 6,26.6512,27.3445,27.1544,26.6273,27.1527,26.9934,0.185166,0.779998,0.125569,0.485245,
rbbp-5,-0.0796471,0.0887548,Q09309,Retinoblastoma-binding protein homolog 5,26.0744,26.1879,26.8977,26.6106,26.6954,26.093,0.0887548,0.887903,-0.0796471,-0.249636,
F36G3.2,0.654306,0.837018,Q09318,Uncharacterized protein F36G3.2,25.4973,25.9484,26.4469,25.3923,25.6735,24.8639,0.837018,0.133765,0.654306,1.80411,
ZK1307.1,1.11279,1.07159,Q09359,Uncharacterized protein ZK1307.1,27.8167,27.602,27.5386,25.6819,26.5921,27.3449,1.07159,0.0731678,1.11279,2.27984,
ZK1320.3,-0.137702,0.30627,Q09365,Uncharacterized protein ZK1320.3,32.1414,32.3695,32.0382,32.5858,32.327,32.0495,0.30627,0.586935,-0.137702,-0.751771,
syf-2,1.53931,2.97021,Q09385,Pre-mRNA-splicing factor syf-2,30.1843,30.6072,30.3765,28.7363,28.6951,29.1186,2.97021,0.00199043,1.53931,8.45729,+
,-1.79987,2.44969,Q09393,,23.9369,23.799,24.1346,26.2334,25.2769,25.7598,2.44969,0.00788608,-1.79987,-6.14779,+
,0.934366,0.661504,Q09395,,27.2316,27.858,27.4063,25.3495,27.3026,27.0406,0.661504,0.208783,0.934366,1.46019,
pgam-5,1.03427,0.834743,Q09422,"Serine/threonine-protein phosphatase Pgam5, mitochondrial",29.6886,29.0369,29.2781,29.3322,27.4951,28.0733,0.834743,0.134184,1.03427,1.79961,
B0228.7,-0.23591,0.566608,Q09438,S-methyl-5-thioadenosine phosphorylase,30.7642,30.3662,30.4096,30.4888,30.8152,30.9437,0.566608,0.27292,-0.23591,-1.27521,
sap-49,-0.765199,1.53623,Q09442,Splicing factor 3B subunit 4,28.2884,28.0906,28.1739,29.3497,28.9179,28.5809,1.53623,0.0293997,-0.765199,-3.33051,+
ubh-4,0.575776,0.320056,Q09444,Probable ubiquitin carboxyl-terminal hydrolase ubh-4,28.5937,28.0989,27.8964,26.2918,27.862,28.7077,0.320056,0.562098,0.575776,0.780757,
C05C10.3,1.97761,3.723,Q09450,"Probable succinyl-CoA:3-ketoacid coenzyme A transferase, mitochondrial",28.5751,28.9212,28.4316,26.6225,26.6368,26.7357,3.723,0.00166667,1.97761,13.2187,+
tdo-2,-1.03763,1.15236,Q09474,"Tryptophan 2,3-dioxygenase",28.4993,27.5285,27.511,28.9801,29.2952,28.3764,1.15236,0.0605721,-1.03763,-2.45045,
C28H8.3,-0.483303,0.574219,Q09475,Uncharacterized helicase C28H8.3,29.6287,28.7417,29.9758,29.953,29.7964,30.0466,0.574219,0.267298,-0.483303,-1.29008,
rsu-1,3.72173,1.52383,Q09497,,30.917,30.4332,28.6848,28.0732,25.6264,25.1702,1.52383,0.0309721,3.72173,3.29996,+
ifp-1,1.25444,1.2954,Q09501,Intermediate filament protein ifp-1,28.4003,28.9238,28.7872,26.9186,27.1375,28.2918,1.2954,0.0467728,1.25444,2.76378,+
sdha-1,1.77217,1.24127,Q09508,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",28.663,28.7254,27.5009,27.6008,25.9266,26.0453,1.24127,0.0514696,1.77217,2.6434,
mlc-4,-0.107995,0.0941559,Q09510,Myosin regulatory light chain,32.517,32.5709,31.6465,32.5218,31.8069,32.7296,0.0941559,0.880906,-0.107995,-0.26363,
rsp-4,0.216476,0.780332,Q09511,"Probable splicing factor, arginine/serine-rich 4",31.171,31.1997,31.2434,31.2191,30.7846,30.961,0.780332,0.156215,0.216476,1.69237,
F07F6.4,0.0784028,0.12595,Q09531,Uncharacterized protein F07F6.4,30.3459,30.9669,30.977,30.579,30.608,30.8677,0.12595,0.845234,0.0784028,0.343875,
rpl-10,0.841697,1.72134,Q09533,60S ribosomal protein L10,31.5209,31.9744,31.6386,30.762,30.636,31.2108,1.72134,0.0221193,0.841697,3.80659,+
tpp-2,0.434008,0.487859,Q09541,Tripeptidyl-peptidase 2,28.3539,27.6168,27.5297,26.828,27.6919,27.6785,0.487859,0.342707,0.434008,1.12059,
paa-1,0.0985864,0.0858242,Q09543,Probable serine/threonine-protein phosphatase PP2A regulatory subunit,28.5283,28.8924,28.6498,27.8091,28.9176,29.0482,0.0858242,0.890805,0.0985864,0.241996,
F58F12.1,0.830611,1.066,Q09544,"ATP synthase subunit delta, mitochondrial",26.4738,27.1067,26.6573,25.6461,26.5418,25.5581,1.066,0.0738186,0.830611,2.26816,
sdhb-1,0.484943,0.50841,Q09545,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",28.9509,29.4317,29.3289,27.9712,29.1011,29.1843,0.50841,0.326355,0.484943,1.16112,
,0.74951,3.40017,Q09567,,30.4912,30.4273,30.3694,29.7925,29.6529,29.594,3.40017,0.00197297,0.74951,10.9299,+
gmps-1,1.18618,0.596066,Q09580,Probable GMP synthase [glutamine-hydrolyzing],28.7781,28.759,28.7167,25.7864,28.4014,28.5075,0.596066,0.248597,1.18618,1.33271,
mix-1,0.582983,0.788145,Q09591,Mitotic chromosome and X-chromosome-associated protein mix-1,28.3228,28.5507,28.3969,27.2477,27.8676,28.4062,0.788145,0.153382,0.582983,1.70772,
cdl-1,0.773638,2.33388,Q09599,Histone RNA hairpin-binding protein,27.149,26.7972,27.1104,26.2657,26.103,26.3669,2.33388,0.0102222,0.773638,5.7155,+
gst-36,2.87623,3.64358,Q09607,Probable glutathione S-transferase gst-36,27.5939,27.0073,27.6155,24.7355,24.3561,24.4964,3.64358,0.0015873,2.87623,12.6165,+
lec-8,-1.00094,1.64209,Q09610,Probable galaptin lec-8,29.8892,30.0536,30.1938,30.5686,31.0912,31.4795,1.64209,0.0246915,-1.00094,-3.598,+
puf-12,1.96978,2.74262,Q09622,Pumilio domain-containing protein 12,27.895,28.1685,28.2706,25.6562,26.3761,26.3924,2.74262,0.004192,1.96978,7.36725,+
,0.828166,0.517394,Q09659,,31.7942,30.8131,30.9184,30.0051,31.5683,29.4679,0.517394,0.319239,0.828166,1.17879,
tnc-2,-0.524554,0.340662,Q09665,"Troponin C, isoform 2",30.9389,30.7035,29.5646,29.9886,31.5236,31.2684,0.340662,0.525083,-0.524554,-0.82369,
C53C9.2,-0.221186,1.64242,Q09936,Uncharacterized protein C53C9.2,32.7193,32.5865,32.7395,32.8342,32.908,32.9668,1.64242,0.0247334,-0.221186,-3.59884,+
F59B10.6,4.76955,5.08,Q09954,Uncharacterized protein F59B10.6,29.1137,29.3659,28.9912,24.3527,24.1967,24.6127,5.08,0,4.76955,29.086,+
C18A3.3,-1.42446,1.74454,Q09958,Probable rRNA-processing protein EBP2 homolog,25.8654,25.6455,26.1997,26.8385,27.1866,27.9588,1.74454,0.0213532,-1.42446,-3.86906,+
dhs-6,0.753963,1.34854,Q09979,,27.6503,27.6487,27.1053,27.011,26.7663,26.3652,1.34854,0.0416755,0.753963,2.88431,+
K10B2.2,1.19493,1.60713,Q09991;Q86NG2,Uncharacterized serine carboxypeptidase K10B2.2,30.471,31.0256,31.3885,29.5155,29.5972,30.1876,1.60713,0.025,1.19493,3.50831,+
lrs-1,3.43221,4.55138,Q09996,Leucine--tRNA ligase,27.6666,28.1655,28.0702,24.4648,24.5142,24.6266,4.55138,0,3.43221,21.4196,+
nsf-1,0.354771,0.296329,Q09EE7;Q94392,Vesicle-fusing ATPase,27.694,28.3626,28.0133,26.7792,28.0675,28.159,0.296329,0.602434,0.354771,0.730733,
tax-6,0.111821,0.0571974,Q0G819;G4SR74;Q27475;Q27528;Q27495;O45001;Q9XW33,Serine/threonine-protein phosphatase,28.1801,26.3374,26.0182,26.7695,26.6301,26.8006,0.0571974,0.930256,0.111821,0.165467,
T19C3.3,-1.90158,3.60181,Q10009,Uncharacterized protein T19C3.3,26.4231,26.8466,26.7001,28.6752,28.3769,28.6223,3.60181,0.00152672,-1.90158,-12.3104,+
T19C3.5,-0.812704,0.586637,Q10011,Uncharacterized protein T19C3.5,27.7037,27.4265,27.7236,27.2104,29.0924,28.9892,0.586637,0.255817,-0.812704,-1.31432,
T28D9.1,-0.817738,2.3546,Q10020,Uncharacterized protein T28D9.1,31.5609,31.2423,31.5912,32.4238,32.2985,32.1253,2.3546,0.00944048,-0.817738,-5.79092,+
F15G9.1,-0.915234,0.78602,Q8I4L0;Q10033,Uncharacterized protein F15G9.1,29.446,29.5703,29.4803,29.3481,31.0447,30.8495,0.78602,0.1543,-0.915234,-1.70354,
gars-1;grs-1,-0.545949,0.408629,Q8I711;Q10039,Glycine--tRNA ligase,30.3761,29.635,28.4308,30.0403,29.9872,30.0522,0.408629,0.432237,-0.545949,-0.962565,
R10H1.1,0.00254186,0.00235774,Q10043,Uncharacterized protein R10H1.1,26.9931,26.8382,27.2862,27.6169,26.4864,27.0065,0.00235774,0.996679,0.00254186,0.00721899,
pqe-1,0.41072,0.944804,Q10124,Putative RNA exonuclease pqe-1,27.0261,26.7679,26.3951,26.2286,26.2325,26.4958,0.944804,0.101685,0.41072,2.01958,
F46H5.3,0.570578,1.68031,Q10454,Probable arginine kinase F46H5.3,34.8018,34.5109,34.6448,33.8239,34.2283,34.1935,1.68031,0.0241474,0.570578,3.69766,+
dpy-18,-0.72658,0.162578,Q10576,Prolyl 4-hydroxylase subunit alpha-1,28.6811,23.4935,28.2671,27.086,27.7059,27.8296,0.162578,0.808113,-0.72658,-0.432409,
tpi-1,-1.78507,2.46081,Q10657,Triosephosphate isomerase,28.7283,28.4694,27.8642,30.3892,29.9375,30.0904,2.46081,0.00796166,-1.78507,-6.19069,+
icl-1,1.40076,2.83748,Q10663,Bifunctional glyoxylate cycle protein;Isocitrate lyase;Malate synthase,32.377,32.4181,32.4134,30.9752,31.3246,30.7064,2.83748,0.00365517,1.40076,7.80524,+
glt-1,-0.0692202,0.154039,Q10901,Excitatory amino acid transporter,29.81,30.0527,29.7595,29.8492,29.7592,30.2215,0.154039,0.820151,-0.0692202,-0.412103,
crn-4,1.06378,0.985945,Q10905,Cell death-related nuclease 4,26.8494,27.9986,27.9912,26.1395,27.2061,26.3023,0.985945,0.0913333,1.06378,2.10312,
arf-1.2,-0.310253,0.611259,Q10943,ADP-ribosylation factor 1-like 2,29.7749,29.2332,29.3077,29.5092,30.0309,29.7065,0.611259,0.239115,-0.310253,-1.36233,
tag-320,0.605824,0.594931,Q11067,Probable protein disulfide-isomerase A6,27.4371,28.3148,28.5439,26.8877,27.7176,27.8731,0.594931,0.248992,0.605824,1.3305,
C02F12.5,-0.0793839,0.165047,Q11101,BPTI/Kunitz inhibitor domain-containing protein C02F12.5,30.517,30.1254,30.0065,30.1359,30.4646,30.2865,0.165047,0.803739,-0.0793839,-0.438244,
lmp-1,-0.989797,0.488963,Q11117,LAMP family protein lmp-1,28.3052,30.193,30.7547,29.8491,30.8888,31.4844,0.488963,0.341257,-0.989797,-1.12278,
cht-1,-2.25063,0.952055,Q11174,Probable endochitinase,26.1961,24.4193,27.2911,29.483,26.976,28.1994,0.952055,0.0999522,-2.25063,-2.03424,
unc-78,-0.939962,0.440912,Q11176,Actin-interacting protein 1,27.284,28.6467,27.2566,27.0923,29.3347,29.5801,0.440912,0.394841,-0.939962,-1.02736,
let-721,0.55972,0.195981,Q11190,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",25.0341,27.5832,28.6787,26.2628,26.4371,26.9169,0.195981,0.763744,0.55972,0.510126,
sodh-1,0.63618,1.25663,Q17334,Alcohol dehydrogenase 1,31.7563,31.5382,31.7141,30.5782,31.2859,31.236,1.25663,0.0498331,0.63618,2.67733,+
H24K24.3,1.07442,1.74276,Q17335,Alcohol dehydrogenase class-3,30.344,29.8251,29.5371,28.5775,29.0859,28.8195,1.74276,0.0213135,1.07442,3.86425,+
snr-1,-0.252683,0.388592,Q17348,Small nuclear ribonucleoprotein Sm D3,31.0965,30.6064,31.2204,30.8278,31.4448,31.4087,0.388592,0.45571,-0.252683,-0.922008,
par-3,0.540712,0.38832,U4PBS3;U4PM79;U4PBE2;U4PBR8;U4PEM0;U4PBE6;Q17353;U4PEL6;U4PRG6;U4PM75;U4PRH0,Partitioning defective protein 3,26.6382,26.8124,25.9383,24.8774,26.4315,26.4578,0.38832,0.456102,0.540712,0.921455,
usp-14,0.538076,0.667238,Q17361,Ubiquitin carboxyl-terminal hydrolase 14,29.9569,30.0472,30.1604,28.7964,29.9165,29.8375,0.667238,0.205407,0.538076,1.47136,
cul-1,-0.203403,0.204322,Q17389,Cullin-1,26.2512,26.5544,25.768,26.9937,25.9655,26.2246,0.204322,0.751654,-0.203403,-0.529143,
AC3.5,0.56056,0.309146,Q17405;H9G2W1,Aminopeptidase-like protein AC3.5,28.8977,30.1963,29.6707,27.7557,29.6973,29.6301,0.309146,0.582269,0.56056,0.757838,
B0001.4,1.8036,2.87487,Q17413,Probable uridine-cytidine kinase,25.92,26.0525,26.3067,23.9759,24.648,24.2446,2.87487,0.00316157,1.8036,7.98415,+
B0024.11,0.849461,0.712727,Q17426,Putative pseudouridine synthase B0024.11,27.8738,27.5779,27.796,25.8299,27.3481,27.5213,0.712727,0.182113,0.849461,1.56005,
leo-1,-0.0937201,0.1022,Q17431,RNA polymerase-associated protein LEO1,25.3167,26.441,25.8011,25.9023,25.8875,26.0502,0.1022,0.870577,-0.0937201,-0.284268,
,-0.521595,0.346947,Q17432,,27.2095,26.6671,26.93,28.6332,27.1035,26.6347,0.346947,0.517261,-0.521595,-0.836702,
dnj-2,-0.213573,0.293218,Q9U3L9;Q17433,DnaJ homolog dnj-2,25.3048,25.6701,25.9041,25.9042,25.3996,26.216,0.293218,0.606753,-0.213573,-0.724122,
pfd-4,0.208808,1.10439,Q17435,Probable prefoldin subunit 4,26.8609,26.7563,26.7168,26.4141,26.6581,26.6354,1.10439,0.0688331,0.208808,2.34862,
dnj-1,-0.222809,0.208701,Q17438,,25.6727,26.0146,26.1324,25.5079,26.8561,26.1241,0.208701,0.745702,-0.222809,-0.53907,
B0035.15,-0.798607,0.652137,Q17439,Uncharacterized protein B0035.15,27.0585,28.6783,28.7379,29.0749,28.8556,28.9399,0.652137,0.214273,-0.798607,-1.44195,
pmk-1,0.691868,1.58073,Q17446,Mitogen-activated protein kinase pmk-1,26.8852,26.3719,26.9114,25.8696,26.2076,26.0157,1.58073,0.0264992,0.691868,3.44148,+
clec-51,-0.42819,0.415172,W6RTE8;Q17450,,27.1758,25.7603,26.4005,26.563,27.0833,26.9748,0.415172,0.423709,-0.42819,-0.975748,
,0.962561,0.535703,Q17457,,28.7317,28.8318,29.0231,26.3306,28.5603,28.808,0.535703,0.303009,0.962561,1.21473,
ttr-18,0.9805,0.694305,Q17473,,30.848,30.8522,30.8317,28.5832,30.6136,30.3937,0.694305,0.189124,0.9805,1.52411,
,0.951763,1.40489,Q17475;Q17474,,30.5172,29.4976,29.8656,28.8211,29.0238,29.1803,1.40489,0.0380282,0.951763,3.01478,+
unc-44,1.82021,0.539569,Q17489,,31.7487,31.2224,31.6709,31.5956,30.7813,26.8045,0.539569,0.299627,1.82021,1.22231,
unc-44,0.717286,2.21637,Q17490;G5ECZ1;Q8MQG0;V6CLS7;Q7JP86;Q5TYL5;Q5TYL6;V6CLR6;Q7JNZ0,,32.4781,32.5025,32.5217,31.5742,32.035,31.7413,2.21637,0.011262,0.717286,5.30269,+
,1.55098,1.95842,Q17499,,28.2633,27.885,27.8003,26.1495,26.084,27.0623,1.95842,0.0151692,1.55098,4.47823,+
,0.851231,2.40815,Q17512,,30.9672,30.8015,31.2046,30.1109,30.0169,30.2918,2.40815,0.00855927,0.851231,5.98971,+
,0.247779,0.364887,Q17543,,27.6584,27.4965,27.1298,26.7076,27.4338,27.3999,0.364887,0.48805,0.247779,0.873631,
